date,fips_x,county,POSITIVE
2020-01-21,091,Sierra County,0.0
2020-01-21,067,Sacramento County,0.0
2020-01-21,083,Santa Barbara County,0.0
2020-01-21,009,Calaveras County,0.0
2020-01-21,111,Ventura County,0.0
2020-01-21,037,Los Angeles County,0.0
2020-01-21,097,Sonoma County,0.0
2020-01-21,031,Kings County,0.0
2020-01-21,073,San Diego County,0.0
2020-01-21,061,Placer County,0.0
2020-01-21,075,San Francisco County,0.0
2020-01-21,041,Marin County,0.0
2020-01-21,043,Mariposa County,0.0
2020-01-21,035,Lassen County,0.0
2020-01-21,055,Napa County,0.0
2020-01-21,089,Shasta County,0.0
2020-01-21,053,Monterey County,0.0
2020-01-21,105,Trinity County,0.0
2020-01-21,045,Mendocino County,0.0
2020-01-21,027,Inyo County,0.0
2020-01-21,051,Mono County,0.0
2020-01-21,109,Tuolumne County,0.0
2020-01-21,095,Solano County,0.0
2020-01-21,071,San Bernardino County,0.0
2020-01-21,013,Contra Costa County,0.0
2020-01-21,003,Alpine County,0.0
2020-01-21,017,El Dorado County,0.0
2020-01-21,113,Yolo County,0.0
2020-01-21,115,Yuba County,0.0
2020-01-21,069,San Benito County,0.0
2020-01-21,023,Humboldt County,0.0
2020-01-21,065,Riverside County,0.0
2020-01-21,029,Kern County,0.0
2020-01-21,011,Colusa County,0.0
2020-01-21,015,Del Norte County,0.0
2020-01-21,049,Modoc County,0.0
2020-01-21,019,Fresno County,0.0
2020-01-21,039,Madera County,0.0
2020-01-21,085,Santa Clara County,0.0
2020-01-21,103,Tehama County,0.0
2020-01-21,077,San Joaquin County,0.0
2020-01-21,001,Alameda County,0.0
2020-01-21,057,Nevada County,0.0
2020-01-21,007,Butte County,0.0
2020-01-21,047,Merced County,0.0
2020-01-21,107,Tulare County,0.0
2020-01-21,099,Stanislaus County,0.0
2020-01-21,059,Orange County,0.0
2020-01-21,025,Imperial County,0.0
2020-01-21,101,Sutter County,0.0
2020-01-21,005,Amador County,0.0
2020-01-21,033,Lake County,0.0
2020-01-21,063,Plumas County,0.0
2020-01-21,081,San Mateo County,0.0
2020-01-21,093,Siskiyou County,0.0
2020-01-21,087,Santa Cruz County,0.0
2020-01-21,021,Glenn County,0.0
2020-01-21,079,San Luis Obispo County,0.0
2020-01-22,091,Sierra County,0.0
2020-01-22,067,Sacramento County,0.0
2020-01-22,083,Santa Barbara County,0.0
2020-01-22,009,Calaveras County,0.0
2020-01-22,111,Ventura County,0.0
2020-01-22,037,Los Angeles County,0.0
2020-01-22,097,Sonoma County,0.0
2020-01-22,031,Kings County,0.0
2020-01-22,073,San Diego County,0.0
2020-01-22,061,Placer County,0.0
2020-01-22,075,San Francisco County,0.0
2020-01-22,041,Marin County,0.0
2020-01-22,043,Mariposa County,0.0
2020-01-22,035,Lassen County,0.0
2020-01-22,055,Napa County,0.0
2020-01-22,089,Shasta County,0.0
2020-01-22,053,Monterey County,0.0
2020-01-22,105,Trinity County,0.0
2020-01-22,045,Mendocino County,0.0
2020-01-22,027,Inyo County,0.0
2020-01-22,051,Mono County,0.0
2020-01-22,109,Tuolumne County,0.0
2020-01-22,095,Solano County,0.0
2020-01-22,071,San Bernardino County,0.0
2020-01-22,013,Contra Costa County,0.0
2020-01-22,003,Alpine County,0.0
2020-01-22,017,El Dorado County,0.0
2020-01-22,113,Yolo County,0.0
2020-01-22,115,Yuba County,0.0
2020-01-22,069,San Benito County,0.0
2020-01-22,023,Humboldt County,0.0
2020-01-22,065,Riverside County,0.0
2020-01-22,029,Kern County,0.0
2020-01-22,011,Colusa County,0.0
2020-01-22,015,Del Norte County,0.0
2020-01-22,049,Modoc County,0.0
2020-01-22,019,Fresno County,0.0
2020-01-22,039,Madera County,0.0
2020-01-22,085,Santa Clara County,0.0
2020-01-22,103,Tehama County,0.0
2020-01-22,077,San Joaquin County,0.0
2020-01-22,001,Alameda County,0.0
2020-01-22,057,Nevada County,0.0
2020-01-22,007,Butte County,0.0
2020-01-22,047,Merced County,0.0
2020-01-22,107,Tulare County,0.0
2020-01-22,099,Stanislaus County,0.0
2020-01-22,059,Orange County,0.0
2020-01-22,025,Imperial County,0.0
2020-01-22,101,Sutter County,0.0
2020-01-22,005,Amador County,0.0
2020-01-22,033,Lake County,0.0
2020-01-22,063,Plumas County,0.0
2020-01-22,081,San Mateo County,0.0
2020-01-22,093,Siskiyou County,0.0
2020-01-22,087,Santa Cruz County,0.0
2020-01-22,021,Glenn County,0.0
2020-01-22,079,San Luis Obispo County,0.0
2020-01-23,091,Sierra County,0.0
2020-01-23,067,Sacramento County,0.0
2020-01-23,083,Santa Barbara County,0.0
2020-01-23,009,Calaveras County,0.0
2020-01-23,111,Ventura County,0.0
2020-01-23,037,Los Angeles County,0.0
2020-01-23,097,Sonoma County,0.0
2020-01-23,031,Kings County,0.0
2020-01-23,073,San Diego County,0.0
2020-01-23,061,Placer County,0.0
2020-01-23,075,San Francisco County,0.0
2020-01-23,041,Marin County,0.0
2020-01-23,043,Mariposa County,0.0
2020-01-23,035,Lassen County,0.0
2020-01-23,055,Napa County,0.0
2020-01-23,089,Shasta County,0.0
2020-01-23,053,Monterey County,0.0
2020-01-23,105,Trinity County,0.0
2020-01-23,045,Mendocino County,0.0
2020-01-23,027,Inyo County,0.0
2020-01-23,051,Mono County,0.0
2020-01-23,109,Tuolumne County,0.0
2020-01-23,095,Solano County,0.0
2020-01-23,071,San Bernardino County,0.0
2020-01-23,013,Contra Costa County,0.0
2020-01-23,003,Alpine County,0.0
2020-01-23,017,El Dorado County,0.0
2020-01-23,113,Yolo County,0.0
2020-01-23,115,Yuba County,0.0
2020-01-23,069,San Benito County,0.0
2020-01-23,023,Humboldt County,0.0
2020-01-23,065,Riverside County,0.0
2020-01-23,029,Kern County,0.0
2020-01-23,011,Colusa County,0.0
2020-01-23,015,Del Norte County,0.0
2020-01-23,049,Modoc County,0.0
2020-01-23,019,Fresno County,0.0
2020-01-23,039,Madera County,0.0
2020-01-23,085,Santa Clara County,0.0
2020-01-23,103,Tehama County,0.0
2020-01-23,077,San Joaquin County,0.0
2020-01-23,001,Alameda County,0.0
2020-01-23,057,Nevada County,0.0
2020-01-23,007,Butte County,0.0
2020-01-23,047,Merced County,0.0
2020-01-23,107,Tulare County,0.0
2020-01-23,099,Stanislaus County,0.0
2020-01-23,059,Orange County,0.0
2020-01-23,025,Imperial County,0.0
2020-01-23,101,Sutter County,0.0
2020-01-23,005,Amador County,0.0
2020-01-23,033,Lake County,0.0
2020-01-23,063,Plumas County,0.0
2020-01-23,081,San Mateo County,0.0
2020-01-23,093,Siskiyou County,0.0
2020-01-23,087,Santa Cruz County,0.0
2020-01-23,021,Glenn County,0.0
2020-01-23,079,San Luis Obispo County,0.0
2020-01-24,091,Sierra County,0.0
2020-01-24,067,Sacramento County,0.0
2020-01-24,083,Santa Barbara County,0.0
2020-01-24,009,Calaveras County,0.0
2020-01-24,111,Ventura County,0.0
2020-01-24,037,Los Angeles County,0.0
2020-01-24,097,Sonoma County,0.0
2020-01-24,031,Kings County,0.0
2020-01-24,073,San Diego County,0.0
2020-01-24,061,Placer County,0.0
2020-01-24,075,San Francisco County,0.0
2020-01-24,041,Marin County,0.0
2020-01-24,043,Mariposa County,0.0
2020-01-24,035,Lassen County,0.0
2020-01-24,055,Napa County,0.0
2020-01-24,089,Shasta County,0.0
2020-01-24,053,Monterey County,0.0
2020-01-24,105,Trinity County,0.0
2020-01-24,045,Mendocino County,0.0
2020-01-24,027,Inyo County,0.0
2020-01-24,051,Mono County,0.0
2020-01-24,109,Tuolumne County,0.0
2020-01-24,095,Solano County,0.0
2020-01-24,071,San Bernardino County,0.0
2020-01-24,013,Contra Costa County,0.0
2020-01-24,003,Alpine County,0.0
2020-01-24,017,El Dorado County,0.0
2020-01-24,113,Yolo County,0.0
2020-01-24,115,Yuba County,0.0
2020-01-24,069,San Benito County,0.0
2020-01-24,023,Humboldt County,0.0
2020-01-24,065,Riverside County,0.0
