fips,county_name,state,date,cases,deaths,data_input_date,edited,local_pub_health_url,notes
06001,​Alameda​,California,3/26/2020,178,4,3/26/2020 16:04:00,y,http://www.acphd.org/2019-ncov.aspx,This includes Berkeley
06003,​Alpine,California,3/26/2020,0,0,3/26/2020 16:10:00,y,http://alpinecountyca.gov/Index.aspx?NID=516,
06005,​Amador,California,3/26/2020,2,0,3/26/2020 16:13:00,y,https://www.amadorgov.org/services/public-health,
06007,​Butte,California,3/26/2020,5,0,3/26/2020 16:20:00,y,http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw,
06009,​Calaveras,California,3/26/2020,3,0,3/26/2020 16:24:41,y,https://covid19.calaverasgov.us/,
06011,​Colusa,California,3/26/2020,0,0,3/26/2020 16:25:14,y,http://www.countyofcolusa.org/99/Public-Health,
06013,​Contra Costa,California,3/26/2020,131,1,3/26/2020 16:25:44,y,https://www.contracostahealth.org/,
06015,​Del Norte,California,3/26/2020,0,0,3/26/2020 16:26:12,y,http://www.co.del-norte.ca.us/departments/health-human-services/public-health,
06017,​El Dorado,California,3/26/2020,9,0,3/26/2020 16:26:47,y,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19.aspx,
06019,​Fresno,California,3/26/2020,27,0,3/26/2020 16:27:09,y,https://www.co.fresno.ca.us/departments/public-health/covid-19,
06021,​Glenn,California,3/26/2020,0,0,3/26/2020 16:27:39,y,https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19,
06023,​Humboldt,California,3/26/2020,12,0,3/26/2020 16:28:19,y,https://humboldtgov.org/2018/Humboldt-Health-Alert,
06025,​Imperial,California,3/26/2020,17,0,3/26/2020 16:28:44,y,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/,
06027,​Inyo,California,3/26/2020,2,0,3/26/2020 16:29:34,y,https://www.inyocounty.us/covid-19/local-updates,
06029,​Kern,California,3/26/2020,33,0,3/26/2020 16:33:50,y,https://kernpublichealth.com/2019-novel-coronavirus/,
06031,​Kings,California,3/26/2020,0,0,3/26/2020 16:34:17,y,https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19,
06033,​Lake,California,3/26/2020,0,0,3/26/2020 16:35:18,y,http://health.co.lake.ca.us/Coronavirus.htm,
06035,​Lassen,California,3/26/2020,0,0,3/26/2020 16:37:10,y,http://www.co.lassen.ca.us/dept/public-health/public-health,
06037,​Los Angeles,California,3/26/2020,"1,216",21,3/26/2020 16:37:38,y,http://publichealth.lacounty.gov/media/Coronavirus/,
06039,​Madera,California,3/26/2020,10,1,3/26/2020 16:39:39,y,https://www.maderacounty.com/government/public-health/health-updates/corona-virus,
06041,​Marin,California,3/26/2020,65,0,3/26/2020 17:09:16,y,https://coronavirus.marinhhs.org/,
06043,​Mariposa,California,3/26/2020,0,0,3/26/2020 16:41:20,y,https://www.mariposacounty.org/1592/COVID-19-Information,
06045,​Mendocino,California,3/26/2020,2,0,3/26/2020 16:42:17,y,https://www.mendocinocounty.org/community/novel-coronavirus,
06047,​Merced,California,3/26/2020,4,0,3/26/2020 16:43:09,y,https://www.co.merced.ca.us/3350/Coronavirus-Disease-2019,
06049,​Modoc,California,3/26/2020,0,0,3/26/2020 17:10:00,y,https://www.facebook.com/pg/Modoc-County-Sheriffs-Office-153688004804447/posts/,
06051,​Mono,California,3/26/2020,6,0,3/26/2020 16:45:07,y,https://coronavirus.monocounty.ca.gov/,
06053,​Monterey,California,3/26/2020,27,0,3/26/2020 17:10:59,y,https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data,
06055,​Napa,California,3/26/2020,7,0,3/26/2020 16:46:35,y,https://www.countyofnapa.org/2770/Situation-Updates,
06057,​Nevada,California,3/26/2020,8,0,3/26/2020 16:47:10,y,https://www.mynevadacounty.com/2924/Coronavirus,
06059,​Orange,California,3/26/2020,256,1,3/26/2020 16:47:34,y,http://www.ochealthinfo.com/phs/about/epidasmt/epi/dip/prevention/novel_coronavirus,
06061,​Placer,California,3/26/2020,30,1,3/26/2020 16:47:50,y,https://www.placer.ca.gov/6448/Cases-in-Placer,
06063,​Plumas,California,3/26/2020,0,0,3/26/2020 17:11:23,y,https://www.plumascounty.us/2669/Novel-Coronavirus-2019-COVID-19,
06065,​Riverside,California,3/26/2020,107,8,3/26/2020 16:48:45,y,https://www.rivcoph.org/coronavirus,
06067,​Sacramento,California,3/26/2020,113,5,3/26/2020 16:49:31,y,https://www.saccounty.net/COVID-19/Pages/default.aspx,
