date,fips,county,cases,deaths,notes
2020-01-21,54001,Barbour County,0,0,
2020-01-21,54003,Berkeley County,0,0,
2020-01-21,54005,Boone County,0,0,
2020-01-21,54007,Braxton County,0,0,
2020-01-21,54009,Brooke County,0,0,
2020-01-21,54011,Cabell County,0,0,
2020-01-21,54013,Calhoun County,0,0,
2020-01-21,54015,Clay County,0,0,
2020-01-21,54017,Doddridge County,0,0,
2020-01-21,54019,Fayette County,0,0,
2020-01-21,54021,Gilmer County,0,0,
2020-01-21,54023,Grant County,0,0,
2020-01-21,54025,Greenbrier County,0,0,
2020-01-21,54027,Hampshire County,0,0,
2020-01-21,54029,Hancock County,0,0,
2020-01-21,54031,Hardy County,0,0,
2020-01-21,54033,Harrison County,0,0,
2020-01-21,54035,Jackson County,0,0,
2020-01-21,54037,Jefferson County,0,0,
2020-01-21,54039,Kanawha County,0,0,
2020-01-21,54041,Lewis County,0,0,
2020-01-21,54043,Lincoln County,0,0,
2020-01-21,54045,Logan County,0,0,
2020-01-21,54049,Marion County,0,0,
2020-01-21,54051,Marshall County,0,0,
2020-01-21,54053,Mason County,0,0,
2020-01-21,54047,McDowell County,0,0,
2020-01-21,54055,Mercer County,0,0,
2020-01-21,54057,Mineral County,0,0,
2020-01-21,54059,Mingo County,0,0,
2020-01-21,54061,Monongalia County,0,0,
2020-01-21,54063,Monroe County,0,0,
2020-01-21,54065,Morgan County,0,0,
2020-01-21,54067,Nicholas County,0,0,
2020-01-21,54069,Ohio County,0,0,
2020-01-21,54071,Pendleton County,0,0,
2020-01-21,54073,Pleasants County,0,0,
2020-01-21,54075,Pocahontas County,0,0,
2020-01-21,54077,Preston County,0,0,
2020-01-21,54079,Putnam County,0,0,
2020-01-21,54081,Raleigh County,0,0,
2020-01-21,54083,Randolph County,0,0,
2020-01-21,54085,Ritchie County,0,0,
2020-01-21,54087,Roane County,0,0,
2020-01-21,54089,Summers County,0,0,
2020-01-21,54091,Taylor County,0,0,
