fips,county,state,date,cases,deaths,data_input_date,edited,source,notes
06001,​Alameda​,California,4/28/2020,"1,533",55,4/28/2020,,https://ac-hcsa.maps.arcgis.com/apps/opsdashboard/index.html#/948c67558cff414dbbee1a78fcbab1c9,
06003,​Alpine,California,4/28/2020,1,0,4/28/2020,,http://alpinecountyca.gov/Index.aspx?NID=516,
06005,​Amador,California,4/28/2020,8,0,4/28/2020,,https://www.amadorgov.org/services/public-health,
06007,​Butte,California,4/28/2020,16,0,4/28/2020,,http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw,
06009,​Calaveras,California,4/28/2020,13,0,4/28/2020,,https://covid19.calaverasgov.us/,
06011,​Colusa,California,4/28/2020,3,0,4/28/2020,,http://www.countyofcolusa.org/99/Public-Health,
06013,​Contra Costa,California,4/28/2020,842,25,4/28/2020,,https://www.contracostahealth.org/,
06015,​Del Norte,California,4/28/2020,3,0,4/28/2020,,http://www.co.del-norte.ca.us/departments/health-human-services/public-health,
06017,​El Dorado,California,4/28/2020,44,0,4/28/2020,,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx,
06019,​Fresno,California,4/28/2020,521,7,4/28/2020,,https://www.co.fresno.ca.us/departments/public-health/covid-19,
06021,​Glenn,California,4/28/2020,5,0,4/28/2020,,https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19,
06023,​Humboldt,California,4/28/2020,53,0,4/28/2020,,https://humboldtgov.org/2018/Humboldt-Health-Alert,
06025,​Imperial,California,4/28/2020,304,8,4/28/2020,,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/,
06027,​Inyo,California,4/28/2020,19,1,4/28/2020,,https://www.inyocounty.us/covid-19/local-updates,
06029,​Kern,California,4/28/2020,847,5,4/28/2020,,https://kernpublichealth.com/covid-19_dashboard/,
06031,​Kings,California,4/28/2020,79,1,4/28/2020,,https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19,
06033,​Lake,California,4/28/2020,6,0,4/28/2020,,https://lake-co-ca-coronavirus-response-lakecoca.hub.arcgis.com/,
06035,​Lassen,California,4/28/2020,0,0,4/28/2020,,https://lassencares.org/,
06037,​Los Angeles,California,4/28/2020,"21,017","1,004",4/28/2020,,http://publichealth.lacounty.gov/media/Coronavirus/,
06039,​Madera,California,4/28/2020,45,2,4/28/2020,,https://www.maderacounty.com/government/public-health/corona-virus-covid-19/covid-revised,
06041,​Marin,California,4/28/2020,226,12,4/28/2020,,https://coronavirus.marinhhs.org/,
06043,​Mariposa,California,4/28/2020,1,0,4/28/2020,,https://www.mariposacounty.org/1592/COVID-19-Information,
06045,​Mendocino,California,4/28/2020,11,0,4/28/2020,,https://www.mendocinocounty.org/community/novel-coronavirus,
06047,​Merced,California,4/28/2020,116,3,4/28/2020,,https://www.co.merced.ca.us/3350/Coronavirus-Disease-2019,
06049,​Modoc,California,4/28/2020,0,0,4/28/2020,,https://www.modocsheriff.us/modoc-covid-19-incident-updates,
06051,​Mono,California,4/28/2020,26,1,4/28/2020,,https://coronavirus.monocounty.ca.gov/,
06053,​Monterey,California,4/28/2020,191,5,4/28/2020,,https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data,
06055,​Napa,California,4/28/2020,66,2,4/28/2020,,https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/,
06057,​Nevada,California,4/28/2020,41,1,4/28/2020,,https://www.mynevadacounty.com/2924/Coronavirus,
06059,​Orange,California,4/28/2020,"2,151",42,4/28/2020,,https://occovid19.ochealthinfo.com/coronavirus-in-oc,
06061,​Placer,California,4/28/2020,145,8,4/28/2020,,https://www.placer.ca.gov/6448/Cases-in-Placer,
06063,​Plumas,California,4/28/2020,4,0,4/28/2020,,https://www.plumascounty.us/2669/Novel-Coronavirus-2019-COVID-19,
06065,​Riverside,California,4/28/2020,"3,735",141,4/28/2020,,https://www.rivcoph.org/coronavirus,
06067,​Sacramento,California,4/28/2020,"1,053",41,4/28/2020,,https://www.saccounty.net/COVID-19/Pages/default.aspx,
06069,​San Benito,California,4/28/2020,50,2,4/28/2020,,https://cosb.maps.arcgis.com/apps/opsdashboard/index.html#/1b049e2ea65043baafcf5361b5b07ddd,
06071,​San Bernardino,California,4/28/2020,"1,827",85,4/28/2020,,https://sbcph.maps.arcgis.com/apps/opsdashboard/index.html#/44bb35c804c44c8281da6d82ee602dff,
06073,​San Diego,California,4/28/2020,"3,314",118,4/28/2020,,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html#Table,
06075,​San Francisco,California,4/28/2020,"1,468",23,4/28/2020,,https://www.sfdph.org/dph/alerts/coronavirus.asp,
06077,​San Joaquin,California,4/28/2020,529,25,4/28/2020,,http://www.sjcphs.org/,
06079,San Luis Obispo​,California,4/28/2020,173,1,4/28/2020,,https://www.emergencyslo.org/en/positive-case-details.aspx,
06081,San Mateo,California,4/28/2020,"1,099",48,4/28/2020,,https://www.smchealth.org/post/san-mateo-county-covid-19-data-1,
06083,​Santa Barbara,California,4/28/2020,477,7,4/28/2020,,https://publichealthsbc.org/status-reports/,
06085,​Santa Clara,California,4/28/2020,"2,122",106,4/28/2020,,https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx,
06087,Santa Cruz​,California,4/28/2020,125,2,4/28/2020,,https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx,
06089,​Shasta,California,4/28/2020,31,4,4/28/2020,,https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus,
06091,​Sierra,California,4/28/2020,0,0,4/28/2020,,http://sierracounty.ca.gov/582/Coronavirus-COVID-19,
06093,​Siskiyou,California,4/28/2020,5,0,4/28/2020,,https://www.co.siskiyou.ca.us/publichealth,
06095,​Solano,California,4/28/2020,249,4,4/28/2020,,https://doitgis.maps.arcgis.com/apps/opsdashboard/index.html#/6c83d8b0a564467a829bfa875e7437d8,
06097,​Sonoma,California,4/28/2020,228,2,4/28/2020,,https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/,
06099,​Stanislaus,California,4/28/2020,324,10,4/28/2020,,http://www.schsa.org/PublicHealth/pages/corona-virus/,
06101,​Sutter,California,4/28/2020,29,2,4/28/2020,,https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus,
06103,​Tehama,California,4/28/2020,1,1,4/28/2020,,https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events,
06105,​Trinity,California,4/28/2020,0,0,4/28/2020,,https://www.trinitycounty.org/Public-Health,
06107,​Tulare,California,4/28/2020,578,35,4/28/2020,,https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/,
06109,​Tuolumne,California,4/28/2020,4,0,4/28/2020,,https://www.tuolumnecounty.ca.gov/250/Public-Health,
06111,​Ventura,California,4/28/2020,508,17,4/28/2020,,https://www.vcemergency.com/,
06113,​Yolo,California,4/28/2020,162,16,4/28/2020,,https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019/dashboard-and-documents,
06115,Yuba,California,4/28/2020,17,1,4/28/2020,,https://www.yuba.org/coronavirus/,
06001,​Alameda​,California,4/27/2020,"1,500",52,4/27/2020,,https://ac-hcsa.maps.arcgis.com/apps/opsdashboard/index.html#/948c67558cff414dbbee1a78fcbab1c9,
06003,​Alpine,California,4/27/2020,1,0,4/27/2020,,http://alpinecountyca.gov/Index.aspx?NID=516,
06005,​Amador,California,4/27/2020,8,0,4/27/2020,,https://www.amadorgov.org/services/public-health,
06007,​Butte,California,4/27/2020,16,0,4/27/2020,,http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw,
06009,​Calaveras,California,4/27/2020,13,0,4/27/2020,,https://covid19.calaverasgov.us/,
06011,​Colusa,California,4/27/2020,3,0,4/27/2020,,http://www.countyofcolusa.org/99/Public-Health,
06013,​Contra Costa,California,4/27/2020,820,25,4/27/2020,,https://www.contracostahealth.org/,
06015,​Del Norte,California,4/27/2020,3,0,4/27/2020,,http://www.co.del-norte.ca.us/departments/health-human-services/public-health,
06017,​El Dorado,California,4/27/2020,43,0,4/27/2020,,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx,
06019,​Fresno,California,4/27/2020,498,7,4/27/2020,,https://www.co.fresno.ca.us/departments/public-health/covid-19,
06021,​Glenn,California,4/27/2020,5,0,4/27/2020,,https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19,
06023,​Humboldt,California,4/27/2020,53,0,4/27/2020,,https://humboldtgov.org/2018/Humboldt-Health-Alert,
06025,​Imperial,California,4/27/2020,284,8,4/27/2020,,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/,
06027,​Inyo,California,4/27/2020,19,1,4/27/2020,,https://www.inyocounty.us/covid-19/local-updates,
06029,​Kern,California,4/27/2020,828,5,4/27/2020,,https://kernpublichealth.com/covid-19_dashboard/,
06031,​Kings,California,4/27/2020,71,1,4/27/2020,,https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19,
06033,​Lake,California,4/27/2020,6,0,4/27/2020,,https://lake-co-ca-coronavirus-response-lakecoca.hub.arcgis.com/,
06035,​Lassen,California,4/27/2020,0,0,4/27/2020,,https://lassencares.org/,
06037,​Los Angeles,California,4/27/2020,"20,460",948,4/27/2020,,http://publichealth.lacounty.gov/media/Coronavirus/,
06039,​Madera,California,4/27/2020,44,2,4/27/2020,,https://www.maderacounty.com/government/public-health/corona-virus-covid-19/covid-revised,
06041,​Marin,California,4/27/2020,224,12,4/27/2020,,https://coronavirus.marinhhs.org/,
06043,​Mariposa,California,4/27/2020,0,0,4/27/2020,,https://www.mariposacounty.org/1592/COVID-19-Information,
06045,​Mendocino,California,4/27/2020,11,0,4/27/2020,,https://www.mendocinocounty.org/community/novel-coronavirus,
06047,​Merced,California,4/27/2020,110,3,4/27/2020,,https://www.co.merced.ca.us/3350/Coronavirus-Disease-2019,
06049,​Modoc,California,4/27/2020,0,0,4/27/2020,,https://www.modocsheriff.us/modoc-covid-19-incident-updates,
06051,​Mono,California,4/27/2020,26,1,4/27/2020,,https://coronavirus.monocounty.ca.gov/,
06053,​Monterey,California,4/27/2020,185,4,4/27/2020,,https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data,
06055,​Napa,California,4/27/2020,64,2,4/27/2020,,https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/,
06057,​Nevada,California,4/27/2020,39,1,4/27/2020,,https://www.mynevadacounty.com/2924/Coronavirus,
06059,​Orange,California,4/27/2020,"2,126",39,4/27/2020,,https://occovid19.ochealthinfo.com/coronavirus-in-oc,
06061,​Placer,California,4/27/2020,143,8,4/27/2020,,https://www.placer.ca.gov/6448/Cases-in-Placer,
06063,​Plumas,California,4/27/2020,4,0,4/27/2020,,https://www.plumascounty.us/2669/Novel-Coronavirus-2019-COVID-19,
06065,​Riverside,California,4/27/2020,"3,643",141,4/27/2020,,https://www.rivcoph.org/coronavirus,
06067,​Sacramento,California,4/27/2020,"1,045",41,4/27/2020,,https://www.saccounty.net/COVID-19/Pages/default.aspx,
06069,​San Benito,California,4/27/2020,48,2,4/27/2020,,https://cosb.maps.arcgis.com/apps/opsdashboard/index.html#/1b049e2ea65043baafcf5361b5b07ddd,
06071,​San Bernardino,California,4/27/2020,"1,772",82,4/27/2020,,https://sbcph.maps.arcgis.com/apps/opsdashboard/index.html#/44bb35c804c44c8281da6d82ee602dff,
06073,​San Diego,California,4/27/2020,"3,141",113,4/27/2020,,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html#Table,
06075,​San Francisco,California,4/27/2020,"1,424",23,4/27/2020,,https://www.sfdph.org/dph/alerts/coronavirus.asp,
06077,​San Joaquin,California,4/27/2020,527,25,4/27/2020,,http://www.sjcphs.org/,
06079,San Luis Obispo​,California,4/27/2020,169,1,4/27/2020,,https://www.emergencyslo.org/en/positive-case-details.aspx,
06081,San Mateo,California,4/27/2020,"1,080",41,4/27/2020,,https://www.smchealth.org/post/san-mateo-county-covid-19-data-1,
06083,​Santa Barbara,California,4/27/2020,473,7,4/27/2020,,https://publichealthsbc.org/status-reports/,
06085,​Santa Clara,California,4/27/2020,"2,105",103,4/27/2020,,https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx,
06087,Santa Cruz​,California,4/27/2020,124,2,4/27/2020,,https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx,
06089,​Shasta,California,4/27/2020,30,4,4/27/2020,,https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus,
06091,​Sierra,California,4/27/2020,0,0,4/27/2020,,http://sierracounty.ca.gov/582/Coronavirus-COVID-19,
06093,​Siskiyou,California,4/27/2020,5,0,4/27/2020,,https://www.co.siskiyou.ca.us/publichealth,
06095,​Solano,California,4/27/2020,226,4,4/27/2020,,https://doitgis.maps.arcgis.com/apps/opsdashboard/index.html#/6c83d8b0a564467a829bfa875e7437d8,
06097,​Sonoma,California,4/27/2020,222,2,4/27/2020,,https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/,
06099,​Stanislaus,California,4/27/2020,312,7,4/27/2020,,http://www.schsa.org/PublicHealth/pages/corona-virus/,
06101,​Sutter,California,4/27/2020,29,2,4/27/2020,,https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus,
06103,​Tehama,California,4/27/2020,1,1,4/27/2020,,https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events,
06105,​Trinity,California,4/27/2020,0,0,4/27/2020,,https://www.trinitycounty.org/Public-Health,
06107,​Tulare,California,4/27/2020,532,32,4/27/2020,,https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/,
06109,​Tuolumne,California,4/27/2020,4,0,4/27/2020,,https://www.tuolumnecounty.ca.gov/250/Public-Health,
06111,​Ventura,California,4/27/2020,503,17,4/27/2020,,https://www.vcemergency.com/,
06113,​Yolo,California,4/27/2020,161,16,4/27/2020,,https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019/dashboard-and-documents,
06115,Yuba,California,4/27/2020,16,1,4/27/2020,,https://www.yuba.org/coronavirus/,
06001,​Alameda​,California,4/26/2020,"1,470",52,4/26/2020,,https://ac-hcsa.maps.arcgis.com/apps/opsdashboard/index.html#/948c67558cff414dbbee1a78fcbab1c9,
06003,​Alpine,California,4/26/2020,1,0,4/26/2020,,http://alpinecountyca.gov/Index.aspx?NID=516,
06005,​Amador,California,4/26/2020,8,0,4/26/2020,,https://www.amadorgov.org/services/public-health,
06007,​Butte,California,4/26/2020,16,0,4/26/2020,,http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw,
06009,​Calaveras,California,4/26/2020,13,0,4/26/2020,,https://covid19.calaverasgov.us/,
06011,​Colusa,California,4/26/2020,3,0,4/26/2020,,http://www.countyofcolusa.org/99/Public-Health,
06013,​Contra Costa,California,4/26/2020,817,25,4/26/2020,,https://www.contracostahealth.org/,
06015,​Del Norte,California,4/26/2020,3,0,4/26/2020,,http://www.co.del-norte.ca.us/departments/health-human-services/public-health,
06017,​El Dorado,California,4/26/2020,42,0,4/26/2020,,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19-Cases.aspx,
06019,​Fresno,California,4/26/2020,458,7,4/26/2020,,https://www.co.fresno.ca.us/departments/public-health/covid-19,
06021,​Glenn,California,4/26/2020,5,0,4/26/2020,,https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19,
06023,​Humboldt,California,4/26/2020,53,0,4/26/2020,,https://humboldtgov.org/2018/Humboldt-Health-Alert,
06025,​Imperial,California,4/26/2020,251,8,4/26/2020,,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/,
06027,​Inyo,California,4/26/2020,19,1,4/26/2020,,https://www.inyocounty.us/covid-19/local-updates,
06029,​Kern,California,4/26/2020,809,4,4/26/2020,,https://kernpublichealth.com/covid-19_dashboard/,
06031,​Kings,California,4/26/2020,67,1,4/26/2020,,https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19,
06033,​Lake,California,4/26/2020,6,0,4/26/2020,,https://lake-co-ca-coronavirus-response-lakecoca.hub.arcgis.com/,
06035,​Lassen,California,4/26/2020,0,0,4/26/2020,,https://lassencares.org/,
06037,​Los Angeles,California,4/26/2020,"19,567",916,4/26/2020,,http://publichealth.lacounty.gov/media/Coronavirus/,
06039,​Madera,California,4/26/2020,41,2,4/26/2020,,https://www.maderacounty.com/government/public-health/corona-virus-covid-19/covid-revised,
06041,​Marin,California,4/26/2020,224,12,4/26/2020,,https://coronavirus.marinhhs.org/,
06043,​Mariposa,California,4/26/2020,0,0,4/26/2020,,https://www.mariposacounty.org/1592/COVID-19-Information,
06045,​Mendocino,California,4/26/2020,11,0,4/26/2020,,https://www.mendocinocounty.org/community/novel-coronavirus,
06047,​Merced,California,4/26/2020,105,3,4/26/2020,,https://www.co.merced.ca.us/3350/Coronavirus-Disease-2019,
06049,​Modoc,California,4/26/2020,0,0,4/26/2020,,https://www.modocsheriff.us/modoc-covid-19-incident-updates,
06051,​Mono,California,4/26/2020,24,1,4/26/2020,,https://coronavirus.monocounty.ca.gov/,
