,date,fips_x,county,POSITIVE
0,2020-01-21,091,Sierra County,0.0
1,2020-01-21,067,Sacramento County,0.0
2,2020-01-21,083,Santa Barbara County,0.0
3,2020-01-21,009,Calaveras County,0.0
4,2020-01-21,111,Ventura County,0.0
5,2020-01-21,037,Los Angeles County,0.0
6,2020-01-21,097,Sonoma County,0.0
7,2020-01-21,031,Kings County,0.0
8,2020-01-21,073,San Diego County,0.0
9,2020-01-21,061,Placer County,0.0
10,2020-01-21,075,San Francisco County,0.0
11,2020-01-21,041,Marin County,0.0
12,2020-01-21,043,Mariposa County,0.0
13,2020-01-21,035,Lassen County,0.0
14,2020-01-21,055,Napa County,0.0
15,2020-01-21,089,Shasta County,0.0
16,2020-01-21,053,Monterey County,0.0
17,2020-01-21,105,Trinity County,0.0
18,2020-01-21,045,Mendocino County,0.0
19,2020-01-21,027,Inyo County,0.0
20,2020-01-21,051,Mono County,0.0
21,2020-01-21,109,Tuolumne County,0.0
22,2020-01-21,095,Solano County,0.0
23,2020-01-21,071,San Bernardino County,0.0
24,2020-01-21,013,Contra Costa County,0.0
25,2020-01-21,003,Alpine County,0.0
26,2020-01-21,017,El Dorado County,0.0
27,2020-01-21,113,Yolo County,0.0
28,2020-01-21,115,Yuba County,0.0
29,2020-01-21,069,San Benito County,0.0
30,2020-01-21,023,Humboldt County,0.0
31,2020-01-21,065,Riverside County,0.0
32,2020-01-21,029,Kern County,0.0
33,2020-01-21,011,Colusa County,0.0
34,2020-01-21,015,Del Norte County,0.0
35,2020-01-21,049,Modoc County,0.0
36,2020-01-21,019,Fresno County,0.0
37,2020-01-21,039,Madera County,0.0
38,2020-01-21,085,Santa Clara County,0.0
39,2020-01-21,103,Tehama County,0.0
40,2020-01-21,077,San Joaquin County,0.0
41,2020-01-21,001,Alameda County,0.0
42,2020-01-21,057,Nevada County,0.0
43,2020-01-21,007,Butte County,0.0
44,2020-01-21,047,Merced County,0.0
45,2020-01-21,107,Tulare County,0.0
46,2020-01-21,099,Stanislaus County,0.0
