county_fips,county,state,date,cases,deaths,data_input_date,edited,local_pub_health_url,notes
06001,​Alameda​,California,3/23/2020,122,1,3/23/2020 13:25:00,,http://www.acphd.org/2019-ncov.aspx,"this includes Berkeley, check here https://www.cityofberkeley.info/coronavirus/"
06003,​Alpine,California,3/23/2020,0,0,,,http://alpinecountyca.gov/Index.aspx?NID=516,
06005,​Amador,California,3/23/2020,2,0,3/23/2020 13:50:23,,https://www.amadorgov.org/services/public-health,
06007,​Butte,California,3/23/2020,2,0,3/23/2020 13:50:36,,http://www.buttecounty.net/publichealth/Home/fbclid/IwAR3fSGcPIbTuP9oMALIinPe68ft2E_vscQm2hDlGwwyilvdXog7KZwY9vTw,
06009,​Calaveras,California,3/23/2020,2,0,3/23/2020 14:17:02,,https://covid19.calaverasgov.us/,
06011,​Colusa,California,3/23/2020,0,0,,,http://www.countyofcolusa.org/99/Public-Health,
06013,​Contra Costa,California,3/23/2020,71,1,3/23/2020 13:25:00,,https://www.contracostahealth.org/,
06015,​Del Norte,California,3/23/2020,0,0,,,http://www.co.del-norte.ca.us/departments/health-human-services/public-health,
06017,​El Dorado,California,3/23/2020,2,0,3/23/2020 13:50:55,,https://www.edcgov.us/Government/hhsa/Pages/EDCCOVID-19.aspx,
06019,​Fresno,California,3/23/2020,6,0,3/23/2020 13:51:05,,https://www.co.fresno.ca.us/departments/public-health/covid-19,
06021,​Glenn,California,3/23/2020,0,0,,,https://www.countyofglenn.net/dept/health-human-services/public-health/covid-19,
06023,​Humboldt,California,3/23/2020,2,0,3/23/2020 13:51:26,,https://humboldtgov.org/2018/Humboldt-Health-Alert,
06025,​Imperial,California,3/23/2020,6,0,3/23/2020 13:52:20,,http://www.icphd.org/health-information-and-resources/healthy-facts/covid-19/,
06027,​Inyo,California,3/23/2020,0,0,,,https://www.inyocounty.us/services/health-human-services/public-health-and-prevention-division,
06029,​Kern,California,3/23/2020,11,0,3/23/2020 13:54:27,,https://kernpublichealth.com/2019-novel-coronavirus/,
06031,​Kings,California,3/23/2020,0,0,,,https://www.countyofkings.com/departments/health-welfare/public-health/coronavirus-disease-2019-covid-19,
06033,​Lake,California,3/23/2020,0,0,,,http://health.co.lake.ca.us/Assets/Departments/Health/Public+Health+Division/COVID-19/CV.pdf,
06035,​Lassen,California,3/23/2020,0,0,,,http://www.co.lassen.ca.us/dept/public-health/public-health,
06037,​Los Angeles,California,3/23/2020,536,7,3/23/2020 13:59:23,,http://publichealth.lacounty.gov/media/Coronavirus/,
06039,​Madera,California,3/23/2020,5,0,3/23/2020 13:55:41,,https://www.maderacounty.com/government/public-health/health-updates/corona-virus,
06041,​Marin,California,3/23/2020,39,0,3/23/2020 13:25:00,,https://coronavirus.marinhhs.org/,
06043,​Mariposa,California,3/23/2020,0,0,,,https://www.mariposacounty.org/1592/COVID-19-Information,
06045,​Mendocino,California,3/23/2020,1,0,3/23/2020 13:56:19,,https://www.mendocinocounty.org/community/novel-coronavirus,
06047,​Merced,California,3/23/2020,0,0,,,https://www.co.merced.ca.us/3350/Coronavirus-Disease-2019,
06049,​Modoc,California,3/23/2020,0,0,,,https://www.facebook.com/pg/Modoc-County-Sheriffs-Office-153688004804447/posts/,
06051,​Mono,California,3/23/2020,0,0,,,https://coronavirus.monocounty.ca.gov/,
06053,​Monterey,California,3/23/2020,14,1,3/23/2020 13:57:05,,https://www.co.monterey.ca.us/government/departments-a-h/administrative-office/office-of-emergency-services/response/covid-19,
06055,​Napa,California,3/23/2020,2,0,3/23/2020 13:57:22,,https://www.countyofnapa.org/2770/Situation-Updates,
06057,​Nevada,California,3/23/2020,3,0,3/23/2020 15:25:57,,https://www.mynevadacounty.com/2924/Coronavirus,
06059,​Orange,California,3/23/2020,125,0,3/23/2020 13:4,,http://www.ochealthinfo.com/phs/about/epidasmt/epi/dip/prevention/novel_coronavirus,
06061,​Placer,California,3/23/2020,20,1,3/23/2020 14:00:01,,https://www.placer.ca.gov/6448/Cases-in-Placer,
06063,​Plumas,California,3/23/2020,0,0,,,https://www.plumascounty.us/2669/Novel-Coronavirus-2019-COVID-19,
06065,​Riverside,California,3/23/2020,48,6,3/23/2020 15:14:21,,https://www.rivcoph.org/coronavirus,
06067,​Sacramento,California,3/23/2020,88,4,3/23/2020 13:42:00,,https://www.saccounty.net/COVID-19/Pages/default.aspx,
06069,​San Benito,California,3/23/2020,6,1,3/23/2020 14:00:56,,https://cosb.maps.arcgis.com/apps/opsdashboard/index.html#/1b049e2ea65043baafcf5361b5b07ddd,
06071,​San Bernardino,California,3/23/2020,17,0,3/23/2020 14:01:18,,http://wp.sbcounty.gov/dph/coronavirus/,
06073,​San Diego,California,3/23/2020,205,1,3/23/2020 14:01:46,,https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html#Table,
06075,​San Francisco,California,3/23/2020,131,0,3/23/2020 13:25:00,,https://www.sfdph.org/dph/alerts/coronavirus.asp,
06077,​San Joaquin,California,3/23/2020,48,2,3/23/2020 14:02:08,,http://www.sjcphs.org/,
06079,San Luis Obispo​,California,3/23/2020,33,0,3/23/2020 14:02:53,,https://www.emergencyslo.org/en/covid19.aspx,
06081,​San Mateo,California,3/23/2020,142,1,3/23/2020 13:25:00,,https://www.smchealth.org/coronavirus,
06083,​Santa Barbara,California,3/23/2020,18,0,3/23/2020 14:03:27,,https://publichealthsbc.org/status-reports/,
06085,​Santa Clara,California,3/23/2020,321,13,3/23/2020 17:11:43,,https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/home.aspx,
06087,Santa Cruz​,California,3/23/2020,22,0,3/23/2020 14:03:49,,https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx,
06089,​Shasta,California,3/23/2020,2,0,3/23/2020 14:03:58,,https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus,
06091,​Sierra,California,3/23/2020,0,0,,,http://sierracounty.ca.gov/582/Coronavirus-COVID-19,
06093,​Siskiyou,California,3/23/2020,2,0,3/23/2020 14:04:41,,https://www.co.siskiyou.ca.us/publichealth,
06095,​Solano,California,3/23/2020,14,0,3/23/2020 13:25:00,,http://www.solanocounty.com/depts/ph/ncov.asp,
06097,​Sonoma,California,3/23/2020,27,1,3/23/2020 13:25:00,,https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/,
06099,​Stanislaus,California,3/23/2020,9,0,3/23/2020 14:05:16,,http://www.schsa.org/PublicHealth/pages/corona-virus/,
06101,​Sutter-Yuba,California,3/23/2020,0,0,,,https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus,
06103,​Tehama,California,3/23/2020,0,0,,,https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events,
,​Tri-City,California,3/23/2020,0,0,,,,
06105,​Trinity,California,3/23/2020,0,0,,,https://www.trinitycounty.org/coronavirus-updates,
06107,​Tulare,California,3/23/2020,16,0,3/23/2020 14:08:45,,https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/tulare-county-health-report/,
06109,​Tuolumne,California,3/23/2020,0,0,,,https://www.tuolumnecounty.ca.gov/250/Public-Health,
06111,​Ventura,California,3/23/2020,30,1,3/23/2020 14:08:13,,https://www.vcemergency.com/,
06113,​Yolo,California,3/23/2020,6,1,3/23/2020 14:07:54,,https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019,
06115,Sutter-Yuba,California,3/23/2020,3,0,3/23/2020 15:29:46,,https://www.yuba.org/coronavirus/,
06001,​Alameda​,California,1/21/2020,,,,,,
06003,​Alpine,California,1/21/2020,,,,,,
06005,​Amador,California,1/21/2020,,,,,,
,​Berkeley City,California,1/21/2020,,,,,,
