,cms_Unnamed: 0,cms_id,cms_address,cms_city,cms_location,cms_county_name,cms_emergency_services,cms_geocode_accuracy,cms_geocode_flag,cms_hospital_name,cms_hospital_ownership,cms_hospital_type,cms_lat,cms_lng,cms_phone_number,cms_state,cms_COUNTYFP,cms_COUNTYNS,cms_url,cms_zip_code,cms_provider_id_int,cms_provider_id_raw,cms_RPT_REC_NUM,cms_icu_beds,cms_burn_beds,cms_surg_icu_beds,cms_coronary_beds,cms_acute_beds,cms_total_med_beds,cms_subprovider_ipf_beds,cms_subprovider_irf_beds,cms_subprovider_oth_beds,cms_skilled_nursing_beds,cms_nursing_fac_beds,cms_oth_longterm_beds,cms_hospice_beds,cms_all_beds,cms_geometry,cms_index_right,cms_STATEFP,cms_GEOID,cms_NAME,cms_NAMELSAD,cms_cnty_fips,cms_full_addy,cms_name_fips,hifld_X,hifld_Y,hifld_OBJECTID,hifld_ID,hifld_NAME,hifld_ADDRESS,hifld_CITY,hifld_STATE,hifld_ZIP,hifld_ZIP4,hifld_TELEPHONE,hifld_TYPE,hifld_STATUS,hifld_POPULATION,hifld_COUNTY,hifld_COUNTYFIPS,hifld_COUNTRY,hifld_LATITUDE,hifld_LONGITUDE,hifld_NAICS_CODE,hifld_NAICS_DESC,hifld_SOURCE,hifld_SOURCEDATE,hifld_VAL_METHOD,hifld_VAL_DATE,hifld_WEBSITE,hifld_STATE_ID,hifld_ALT_NAME,hifld_ST_FIPS,hifld_OWNER,hifld_TTL_STAFF,hifld_BEDS,hifld_TRAUMA,hifld_HELIPAD,hifld_full_addy,hifld_name_fips
0,0.0,16295.0,3160 GENEVA STREET,LOS ANGELES,,LOS ANGELES,False,,0.0,SHRINERS HOSPITALS FOR CHILDREN,Voluntary non-profit - Private,Childrens,34.067708,-118.286387,(213) 388-3151,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-zkfj-xhi2.ce89,90020.0,53310.0,53310,655536.0,,,,,,,,,,,,,,,POINT (-118.286387 34.067708),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,3160 GENEVA ST LOS ANGELES CA,SHRINERS HOSPITALS FOR CHILDREN - 06037,-118.28639207899994,34.06720477700003,89.0,42990020.0,SHRINERS HOSPITAL FOR CHILDREN  L A ,3160 GENEVA STREET,LOS ANGELES,CA,90020.0,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,60.0,LOS ANGELES,06037,USA,34.067204777,-118.286392079,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.shrinershospitalsforchildren.org/Hospitals/Locations/Losa ngeles.aspx,NOT AVAILABLE,NOT AVAILABLE,6.0,NON-PROFIT,-999.0,60.0,NOT AVAILABLE,N,3160 GENEVA ST LOS ANGELES CA,SHRINERS HOSPITAL FOR CHILDREN  L A - 06037
1,1.0,17203.0,100 FALLS CANYON ROAD,AVALON,,LOS ANGELES,True,,0.0,CATALINA ISLAND MEDICAL CENTER,Voluntary non-profit - Private,Critical Access Hospitals,33.339079,-118.330477,(310) 510-0700,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-8vi9~ashp_y9rx,90704.0,51307.0,51307,638364.0,,,,,8.0,8.0,,,,4.0,,,,12.0,POINT (-118.330477 33.339079),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,100 FALLS CANYON RD AVALON CA,CATALINA ISLAND MEDICAL CENTER - 06037,-118.33070512299996,33.339204041000066,4804.0,5490704.0,CATALINA ISLAND MEDICAL CENTER,100 FALLS CANYON ROAD,AVALON,CA,90704.0,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,12.0,LOS ANGELES,06037,USA,33.3392040410001,-118.33070512299999,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.catalinaislandmedicalcenter.org,NOT AVAILABLE,NOT AVAILABLE,6.0,NON-PROFIT,-999.0,12.0,NOT AVAILABLE,N,100 FALLS CANYON RD AVALON CA,CATALINA ISLAND MEDICAL CENTER - 06037
2,97.0,19405.0,9449 SAN FERNANDO RD,SUN VALLEY,,LOS ANGELES,True,,0.0,PACIFICA HOSPITAL OF THE VALLEY,Proprietary,Acute Care Hospitals,34.241134,-118.395669,(818) 767-3310,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-dhg6-n9an_6w25,91352.0,50378.0,50378,655192.0,,,,7.0,126.0,133.0,,,,98.0,,,,231.0,POINT (-118.395669 34.241134),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,9449 SAN FERNANDO RD SUN VALLEY CA,PACIFICA HOSPITAL OF THE VALLEY - 06037,-118.396362905,34.240098335000035,7534.0,33791352.0,PACIFICA HOSPITAL OF THE VALLEY,9449 SAN FERNANDO ROAD,SUN VALLEY,CA,91352.0,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,231.0,LOS ANGELES,06037,USA,34.240098335,-118.396362905,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.pacificahospital.com,NOT AVAILABLE,NOT AVAILABLE,6.0,PROPRIETARY,-999.0,231.0,NOT AVAILABLE,N,9449 SAN FERNANDO RD SUN VALLEY CA,PACIFICA HOSPITAL OF THE VALLEY - 06037
3,105.0,15825.0,14445 OLIVE VIEW DRIVE,SYLMAR,,LOS ANGELES,True,,0.0,LAC OLIVE VIEW UCLA MEDICAL CENTER,Voluntary non-profit - Other,Acute Care Hospitals,34.325912,-118.445513,(818) 364-1555,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-3dym-zkj6.4ich,91342.0,50040.0,50040,662312.0,18.0,,,,209.0,241.0,34.0,,,,,,,275.0,POINT (-118.445513 34.325912),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,14445 OLIVE VIEW DR SYLMAR CA,LAC OLIVE VIEW UCLA MEDICAL CENTER - 06037,-118.44576410199993,34.32587172200005,1012.0,26691342.0,LOS ANGELES COUNTY OLIVE VIEW UCLA MEDICAL CENTER,14445 OLIVE VIEW DRIVE,SYLMAR,CA,91342.0,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,355.0,LOS ANGELES,06037,USA,34.325871721999995,-118.44576410200001,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-03-12T00:00:00.000Z,http://www.ladhs.org,NOT AVAILABLE,NOT AVAILABLE,6.0,GOVERNMENT - LOCAL,-999.0,355.0,NOT AVAILABLE,Y,14445 OLIVE VIEW DR SYLMAR CA,LOS ANGELES COUNTY OLIVE VIEW UCLA MEDICAL CENTER - 06037
4,125.0,19681.0,150 WEST ROUTE 66,GLENDORA,,LOS ANGELES,True,,0.0,GLENDORA COMMUNITY HOSPITAL,Proprietary,Acute Care Hospitals,34.128685,-117.865193,(626) 335-0231,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-pbt3-vx8t-nmwi,91740.0,50205.0,50205,655189.0,10.0,,,,97.0,107.0,21.0,,,,,,,128.0,POINT (-117.865193 34.128685),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,150 WEST ROUTE 66 GLENDORA CA,GLENDORA COMMUNITY HOSPITAL - 06037,-117.865137942,34.12748712800004,7531.0,11291740.0,GLENDORA COMMUNITY HOSPITAL,150 WEST ROUTE 66,GLENDORA,CA,91740.0,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,128.0,LOS ANGELES,06037,USA,34.127487128,-117.865137942,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.evhmc.com/,NOT AVAILABLE,EAST VALLEY HOSPITAL MEDICAL CENTER,6.0,PROPRIETARY,-999.0,128.0,NOT AVAILABLE,N,150 WEST ROUTE 66 GLENDORA CA,GLENDORA COMMUNITY HOSPITAL - 06037
5,217.0,20238.0,1000 W CARSON ST,TORRANCE,,LOS ANGELES,True,,0.0,LAC HARBOR UCLA MED CENTER,Government - Local,Acute Care Hospitals,33.831583,-118.294546,(310) 222-2101,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-5whm.24nh_dyri,90502.0,50376.0,50376,662343.0,46.0,,,6.0,298.0,377.0,38.0,,,,,,,415.0,POINT (-118.294546 33.831583),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,1000 WEST CARSON ST TORRANCE CA,LAC HARBOR UCLA MED CENTER - 06037,-118.29171380899996,33.83047377100007,4669.0,24890502.0,LAC HARBOR UCLA MEDICAL CENTER,1000 WEST CARSON STREET,TORRANCE,CA,90502.0,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,453.0,LOS ANGELES,06037,USA,33.8304737710001,-118.291713809,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.humc.edu,NOT AVAILABLE,NOT AVAILABLE,6.0,GOVERNMENT - LOCAL,-999.0,453.0,"LEVEL I, LEVEL II PEDIATRIC",Y,1000 WEST CARSON ST TORRANCE CA,LAC HARBOR UCLA MEDICAL CENTER - 06037
6,220.0,18826.0,6245 DE LONGPRE AVE,HOLLYWOOD,,LOS ANGELES,True,,0.0,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,Proprietary,Acute Care Hospitals,34.096191999999995,-118.325371,(323) 462-2271,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-k6q2.64iy.buw8,90028.0,50135.0,50135,655246.0,15.0,,,13.0,428.0,456.0,103.0,32.0,,21.0,,,,612.0,POINT (-118.325371 34.09619199999999),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,6245 DE LONGPRE AVE HOLLYWOOD CA,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD - 06037,-118.32523487099995,34.096391357000066,4.0,17090028.0,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,6245 DE LONGPRE AVENUE,HOLLYWOOD,CA,90028.0,NOT AVAILABLE,(323) 462-2271,GENERAL ACUTE CARE,OPEN,100.0,LOS ANGELES,06037,USA,34.0963913570001,-118.325234871,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://sch-hollywood.com/,NOT AVAILABLE,HOLLYWOOD COMMUNITY HOSPITAL OF HOLLYWOOD,6.0,PROPRIETARY,-999.0,100.0,NOT AVAILABLE,N,6245 DE LONGPRE AVE HOLLYWOOD CA,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD - 06037
7,239.0,20431.0,11500 BROOKSHIRE AVENUE,DOWNEY,,LOS ANGELES,True,,0.0,PIH HOSPITAL  DOWNEY,Voluntary non-profit - Private,Acute Care Hospitals,33.935563,-118.131703,(526) 904-5000,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-acht-d2zx_7npt,90241.0,50393.0,50393,657667.0,18.0,,,,174.0,199.0,,,,,,,,199.0,POINT (-118.131703 33.935563),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,11500 BROOKSHIRE AVE DOWNEY CA,PIH HOSPITAL  DOWNEY - 06037,-118.13090395999996,33.934351798000066,138.0,72390241.0,PIH HOSPITAL  DOWNEY,11500 BROOKSHIRE AVENUE,DOWNEY,CA,90241.0,NOT AVAILABLE,(562) 904-5000,GENERAL ACUTE CARE,OPEN,199.0,LOS ANGELES,06037,USA,33.9343517980001,-118.13090396,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2015-01-14T00:00:00.000Z,http://www.pihhealth.org/,NOT AVAILABLE,DOWNEY REGIONAL MEDICAL CENTER,6.0,NON-PROFIT,-999.0,199.0,NOT AVAILABLE,N,11500 BROOKSHIRE AVE DOWNEY CA,PIH HOSPITAL  DOWNEY - 06037
8,384.0,15598.0,16237 VENTURA BLVD,ENCINO,,LOS ANGELES,False,,0.0,ENCINO HOSPITAL MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.156826,-118.486948,(818) 995-5000,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-9gh4~7pmm-pjtp,91436.0,50158.0,50158,658652.0,,,,22.0,60.0,82.0,13.0,25.0,,28.0,,,,148.0,POINT (-118.486948 34.156826),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,16237 VENTURA BLVD ENCINO CA,ENCINO HOSPITAL MEDICAL CENTER - 06037,-118.48702421,34.157227103000025,4666.0,12391436.0,ENCINO HOSPITAL MEDICAL CENTER,16237 VENTURA BOULEVARD,ENCINO,CA,91436.0,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,148.0,LOS ANGELES,06037,USA,34.157227103000004,-118.48702421,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY/OTHER,2014-02-10T00:00:00.000Z,http://www.encinomed.com,NOT AVAILABLE,NOT AVAILABLE,6.0,PROPRIETARY,-999.0,148.0,NOT AVAILABLE,N,16237 VENTURA BLVD ENCINO CA,ENCINO HOSPITAL MEDICAL CENTER - 06037
9,452.0,15944.0,438 W LAS TUNAS DRIVE,SAN GABRIEL,,LOS ANGELES,True,,0.0,SAN GABRIEL VALLEY MEDICAL CENTER,Proprietary,Acute Care Hospitals,34.102461,-118.105572,(626) 289-5454,CA,37.0,277283.0,https://data.medicare.gov/resource/xubh-q36u/row-vsyy.e66v~akjm,91776.0,50132.0,50132,658112.0,19.0,,,,156.0,187.0,42.0,,,46.0,,,,275.0,POINT (-118.105572 34.102461),397.0,6.0,6037.0,Los Angeles,Los Angeles County,6037.0,438 WEST LAS TUNAS DR SAN GABRIEL CA,SAN GABRIEL VALLEY MEDICAL CENTER - 06037,-118.10591878499996,34.10086878500005,941.0,39191776.0,SAN GABRIEL VALLEY MEDICAL CENTER,438 W. LAS TUNAS DRIVE,SAN GABRIEL,CA,91776.0,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,273.0,LOS ANGELES,06037,USA,34.100868785,-118.105918785,622110.0,GENERAL MEDICAL AND SURGICAL HOSPITALS,http://www.oshpd.ca.gov/HID/Facility-Listing.html,2018-08-08T00:00:00.000Z,IMAGERY,2014-02-10T00:00:00.000Z,http://www.sgvmc.org,NOT AVAILABLE,NOT AVAILABLE,6.0,PROPRIETARY,-999.0,273.0,NOT AVAILABLE,N,438 WEST LAS TUNAS DR SAN GABRIEL CA,SAN GABRIEL VALLEY MEDICAL CENTER - 06037
