STATEFP,COUNTYFP,COUNTYNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CSAFP,CBSAFP,METDIVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
31,039,00835841,31039,Cuming,Cuming County,06,H1,G4020,,,,A,1477652222,10690952,+41.9158651,-096.7885168
53,069,01513275,53069,Wahkiakum,Wahkiakum County,06,H1,G4020,,,,A,680962890,61582307,+46.2946377,-123.4244583
35,011,00933054,35011,De Baca,De Baca County,06,H1,G4020,,,,A,6016819475,29089486,+34.3592729,-104.3686961
31,109,00835876,31109,Lancaster,Lancaster County,06,H1,G4020,339,30700,,A,2169270569,22849484,+40.7835474,-096.6886584
31,129,00835886,31129,Nuckolls,Nuckolls County,06,H1,G4020,,,,A,1489645188,1718484,+40.1764918,-098.0468422
72,085,01804523,72085,Las Piedras,Las Piedras Municipio,13,H1,G4020,490,41980,,A,87748359,32509,+18.1871483,-065.8711890
46,099,01265772,46099,Minnehaha,Minnehaha County,06,H1,G4020,,43620,,A,2089691755,18198481,+43.6674723,-096.7957261
48,327,01383949,48327,Menard,Menard County,06,H1,G4020,,,,A,2336237982,613559,+30.8852677,-099.8588613
06,091,00277310,06091,Sierra,Sierra County,06,H1,G4020,,,,A,2468694583,23299110,+39.5769252,-120.5219926
21,053,00516873,21053,Clinton,Clinton County,06,H1,G4020,,,,A,510875755,21152699,+36.7272577,-085.1360977
39,063,01074044,39063,Hancock,Hancock County,06,H1,G4020,534,22300,,A,1376125660,6020647,+41.0004711,-083.6660335
48,189,01383880,48189,Hale,Hale County,06,H1,G4020,352,38380,,A,2602109427,246678,+34.0684364,-101.8228879
01,027,00161539,01027,Clay,Clay County,06,H1,G4020,,,,A,1564251834,5285207,+33.2703999,-085.8635254
48,011,01383791,48011,Armstrong,Armstrong County,06,H1,G4020,108,11100,,A,2354581674,12219583,+34.9641790,-101.3566363
39,003,01074015,39003,Allen,Allen County,06,H1,G4020,338,30620,,A,1042479889,11259523,+40.7716274,-084.1061032
13,189,00348794,13189,McDuffie,McDuffie County,06,H1,G4020,,12260,,A,666848710,23114025,+33.4796231,-082.4787331
55,111,01581115,55111,Sauk,Sauk County,06,H1,G4020,357,12660,,A,2153685971,45692999,+43.4280010,-089.9433184
05,137,00069902,05137,Stone,Stone County,06,H1,G4020,,,,A,1570754768,7842161,+35.8570011,-092.1404819
41,063,01155135,41063,Wallowa,Wallowa County,06,H1,G4020,,,,A,8147835329,14191752,+45.5937530,-117.1855796
42,007,01214112,42007,Beaver,Beaver County,06,H1,G4020,430,38300,,A,1125901370,24162727,+40.6841401,-080.3507209
28,061,00695754,28061,Jasper,Jasper County,06,H1,G4020,279,29860,,A,1751454613,3178416,+32.0169894,-089.1194302
29,083,00758496,29083,Henry,Henry County,06,H1,G4020,,,,A,1805078265,91634021,+38.3864909,-093.7926278
08,109,00198170,08109,Saguache,Saguache County,06,H1,G4020,,,,A,8206547705,4454510,+38.0316514,-106.2346662
37,037,01008544,37037,Chatham,Chatham County,06,H1,G4020,450,20500,,A,1765648430,70626784,+35.7049939,-079.2514542
49,033,01448030,49033,Rich,Rich County,06,H1,G4020,,,,A,2664700960,149106532,+41.6275976,-111.2402269
40,001,01101788,40001,Adair,Adair County,06,H1,G4020,,,,A,1486277939,8874158,+35.8980428,-094.6510258
39,085,01074055,39085,Lake,Lake County,06,H1,G4020,184,17460,,A,593807218,1942301625,+41.9241163,-081.3926429
51,775,01789074,51775,Salem,Salem city,25,C7,G4020,,40220,,F,37602710,275156,+37.2853329,-080.0552407
51,121,01674630,51121,Montgomery,Montgomery County,06,H1,G4020,,13980,,A,1001921573,6289787,+37.1755344,-080.3877913
47,065,01639749,47065,Hamilton,Hamilton County,06,H1,G4020,174,16860,,A,1404722581,86573147,+35.1634720,-085.2018432
35,035,00929104,35035,Otero,Otero County,06,H1,G4020,,10460,,A,17126456785,36943378,+32.6155988,-105.7513079
35,003,00929108,35003,Catron,Catron County,06,H1,G4020,,,,A,17933559836,14195265,+33.9016208,-108.3919284
01,091,00161572,01091,Marengo,Marengo County,06,H1,G4020,,,,A,2530140237,14966620,+32.2475911,-087.7910910
56,023,01605076,56023,Lincoln,Lincoln County,06,H1,G4020,,,,A,10555073735,49947393,+42.2299932,-110.6829614
29,011,00758460,29011,Barton,Barton County,06,H1,G4020,,,,A,1533351029,12152201,+37.5007989,-094.3440893
48,057,01383814,48057,Calhoun,Calhoun County,06,H1,G4020,544,38920,,A,1312707005,1361884774,+28.4417191,-096.5795739
51,735,01498436,51735,Poquoson,Poquoson city,25,C7,G4020,545,47260,,F,39837595,163455830,+37.1283599,-076.3035337
54,075,01550044,54075,Pocahontas,Pocahontas County,06,H1,G4020,,,,A,2435206760,4094092,+38.3326060,-080.0101207
48,077,01383824,48077,Clay,Clay County,06,H1,G4020,,48660,,A,2819870186,72508536,+33.7859042,-098.2129174
51,095,01480135,51095,James City,James City County,06,H1,G4020,545,47260,,A,368724192,95246387,+37.3248367,-076.7778878
31,101,00835872,31101,Keith,Keith County,06,H1,G4020,,,,A,2749531879,124672190,+41.1942448,-101.6444493
31,137,00835890,31137,Phelps,Phelps County,06,H1,G4020,,,,A,1398048600,1646533,+40.5163647,-099.4065568
22,019,00558468,22019,Calcasieu,Calcasieu Parish,15,H1,G4020,324,29340,,A,2756144275,78003935,+30.2295588,-093.3580154
22,111,00559528,22111,Union,Union Parish,15,H1,G4020,384,33740,,A,2271261418,73624033,+32.8293486,-092.3756501
40,135,01101855,40135,Sequoyah,Sequoyah County,06,H1,G4020,,22900,,A,1744289208,105113803,+35.5024345,-094.7507569
01,049,00161550,01049,DeKalb,DeKalb County,06,H1,G4020,497,22840,,A,2012676480,4121543,+34.4609290,-085.8039920
36,101,00974148,36101,Steuben,Steuben County,06,H1,G4020,236,18500,,A,3601520291,35040141,+42.2667252,-077.3855253
42,053,01213669,42053,Forest,Forest County,06,H1,G4020,,,,A,1106623930,8356609,+41.5133040,-079.2497050
22,105,00559500,22105,Tangipahoa,Tangipahoa Parish,15,H1,G4020,406,25220,,A,2049482871,136678798,+30.6215313,-090.4066303
51,179,01480173,51179,Stafford,Stafford County,06,H1,G4020,548,47900,47894,A,697237202,28088011,+38.4132608,-077.4513342
26,109,01622997,26109,Menominee,Menominee County,06,H1,G4020,361,31940,,A,2704053268,761798738,+45.5362068,-087.5018115
18,073,00450494,18073,Jasper,Jasper County,06,H1,G4020,176,16980,23844,A,1449563753,4428654,+41.0176883,-087.1188137
13,025,00351605,13025,Brantley,Brantley County,06,H1,G4020,,15260,,A,1147949245,10297607,+31.1973339,-081.9829779
13,171,00326713,13171,Lamar,Lamar County,06,H1,G4020,122,12060,,A,475264443,6044329,+33.0744405,-084.1466893
18,151,00450390,18151,Steuben,Steuben County,06,H1,G4020,258,11420,,A,799729298,35454787,+41.6434670,-085.0024051
48,361,01383966,48361,Orange,Orange County,06,H1,G4020,,13140,,A,864501083,118476414,+30.1223229,-093.8940999
39,047,01074036,39047,Fayette,Fayette County,06,H1,G4020,198,47920,,A,1052469899,1694038,+39.5552462,-083.4618927
25,015,00606934,25015,Hampshire,Hampshire County,06,H4,G4020,,44140,,N,1365534282,46667009,+42.3394593,-072.6636936
21,003,00516848,21003,Allen,Allen County,06,H1,G4020,150,14540,,A,891838779,19482100,+36.7507703,-086.1924580
