REGION,DIVISION,STATEFP,STATENS,GEOID,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,acres_use,top_hiv
3,6,01,01779775,01,AL,Alabama,00,G4000,A,131173369432,4593984687,+32.7396323,-086.8434593,0,1
4,9,02,01785533,02,AK,Alaska,00,G4000,A,1477946338495,245391672906,+63.3461909,-152.8370690,0,
4,8,04,01779777,04,AZ,Arizona,00,G4000,A,294204474990,1027559124,+34.2039355,-111.6063565,1,
3,7,05,00068085,05,AR,Arkansas,00,G4000,A,134769279101,2962525273,+34.8955256,-092.4446262,0,1
4,9,06,01779778,06,CA,California,00,G4000,A,403488955894,20477992907,+37.1551773,-119.5434183,130,
4,8,08,01779779,08,CO,Colorado,00,G4000,A,268428431772,1175462574,+38.9938673,-105.5083188,200,
1,1,09,01779780,09,CT,Connecticut,00,G4000,A,12542452026,1814924099,+41.5797777,-072.7466665,15,
3,5,10,01779781,10,DE,Delaware,00,G4000,A,5047105127,1398742998,+38.9985380,-075.4416616,0,
3,5,11,01702382,11,DC,District of Columbia,00,G4000,A,158364990,18633403,+38.9041031,-077.0172290,0,1
3,5,12,00294478,12,FL,Florida,00,G4000,A,138904831800,31406193924,+28.4574302,-082.4091478,0,
3,5,13,01705317,13,GA,Georgia,00,G4000,A,149169759045,4740824950,+32.6295789,-083.4235109,0,
4,9,15,01779782,15,HI,Hawaii,00,G4000,A,16634133472,11777724416,+19.8281713,-155.4950401,0,
4,8,16,01779783,16,ID,Idaho,00,G4000,A,214042831252,2397619893,+44.3484222,-114.5588538,5648,
2,3,17,01779784,17,IL,Illinois,00,G4000,A,143794894211,6200606440,+40.1028754,-089.1526108,30,
2,3,18,00448508,18,IN,Indiana,00,G4000,A,92790537698,1535887357,+39.9030256,-086.2839503,50,
2,4,19,01779785,19,IA,Iowa,00,G4000,A,144667481633,1077969087,+42.0700243,-093.4933473,40,
2,4,20,00481813,20,KS,Kansas,00,G4000,A,211752682810,1346896791,+38.4985464,-098.3834298,0,
